,text,author_id,conversation_id,created_at,in_reply_to_user_id,id
174,"@WanjikuReports No. 1, Safaricom of course",1138056841018187777,1473929269319553026,2021-12-23T15:11:57.000Z,1242834186173665280,1474035052946366469
175,@odhisjakagwa @WanjikuReports kuome 💉,990560206038986752,1473929269319553026,2021-12-23T15:11:55.000Z,241024957,1474035044289327108
176,@WanjikuReports 12,918876937581481985,1473929269319553026,2021-12-23T15:11:51.000Z,1242834186173665280,1474035027650482184
177,"@WanjikuReports Any of the above, having worked in top 4 of the top 10.",1473249684470874112,1473929269319553026,2021-12-23T15:11:48.000Z,1242834186173665280,1474035016938233860
178,@WanjikuReports @UN,2210690231,1473929269319553026,2021-12-23T15:11:47.000Z,1242834186173665280,1474035012219588616
179,@WanjikuReports Google mechanical engineer,1242911524907294729,1473929269319553026,2021-12-23T15:11:35.000Z,1242834186173665280,1474034962395545601
180,@WanjikuReports 12,1277565500202127360,1473929269319553026,2021-12-23T15:11:31.000Z,1242834186173665280,1474034945836437512
181,@WanjikuReports Microsoft,4868223130,1473929269319553026,2021-12-23T15:11:26.000Z,1242834186173665280,1474034923073908745
182,@WanjikuReports @SafaricomPLC  wakuu si mfanye Ile kitu nitume CV tafazali.,1292136467968516097,1473929269319553026,2021-12-23T15:11:00.000Z,1242834186173665280,1474034814676307972
183,@WanjikuReports @KCBGroup,1170926742468550656,1473929269319553026,2021-12-23T15:10:57.000Z,1242834186173665280,1474034803238490114
184,@WanjikuReports @keyamour 1,189098134,1473929269319553026,2021-12-23T15:10:51.000Z,1242834186173665280,1474034773995700240
185,@WanjikuReports 2&amp;7,381406819,1473929269319553026,2021-12-23T15:10:04.000Z,1242834186173665280,1474034577639415827
186,@WanjikuReports Coca Cola,262716063,1473929269319553026,2021-12-23T15:10:02.000Z,1242834186173665280,1474034572174237700
187,@WanjikuReports UN,272271402,1473929269319553026,2021-12-23T15:09:47.000Z,1242834186173665280,1474034507955113985
188,@WanjikuReports Google,784028248309133313,1473929269319553026,2021-12-23T15:09:33.000Z,1242834186173665280,1474034447326531589
189,@WanjikuReports @UN,1728312060,1473929269319553026,2021-12-23T15:09:25.000Z,1242834186173665280,1474034413520445447
190,@MwDerek @WanjikuReports Ni kama utakuwa tu mwalimu peke yako,1412271206,1473929269319553026,2021-12-23T15:08:55.000Z,1476521467,1474034289117388816
